上海电信,#genre#
上海新闻综合,http://101.224.148.168:5022/udp/239.45.3.209:5140
纪实人文,http://101.224.148.168:5022/udp/239.45.3.212:5140
生活时尚,http://101.224.148.168:5022/udp/239.45.3.132:5140
东方卫视,http://101.224.148.168:5022/udp/239.45.3.146:5140
上海都市,http://101.224.148.168:5022/udp/239.45.3.236:5140
都市剧场,http://101.224.148.168:5022/udp/239.45.3.136:5140
东方影视,http://101.224.148.168:5022/udp/239.45.3.237:5140
第一财经,http://101.224.148.168:5022/udp/239.45.3.211:5140
东方财经,http://101.224.148.168:5022/udp/239.45.0.17:5140
上海ICS外语,http://101.224.148.168:5022/udp/239.45.1.127:5140
上海教育,http://101.224.148.168:5022/udp/239.45.0.13:5140
欢笑剧场,http://101.224.148.168:5022/udp/239.45.3.196:5140
欢笑剧场4K,http://101.224.148.168:5022/udp/239.45.1.4:5140
五星体育,http://101.224.148.168:5022/udp/239.45.3.210:5140
法治天地,http://101.224.148.168:5022/udp/239.45.1.46:5140
家庭理财,http://101.224.148.168:5022/udp/239.45.0.14:5140
百事通4K电影,http://101.224.148.168:5022/udp/239.45.3.107:5140
百事通4K纪实,http://101.224.148.168:5022/udp/239.45.1.10:5140
百事通4K儿童,http://101.224.148.168:5022/udp/239.45.1.1:5140
乐游,http://101.224.148.168:5022/udp/239.45.3.135:5140
动漫秀场,http://101.224.148.168:5022/udp/239.45.3.134:5140
游戏风云,http://101.224.148.168:5022/udp/239.45.3.131:5140
哈哈炫动,http://101.224.148.168:5022/udp/239.45.1.55:5140
东方购物-1,http://101.224.148.168:5022/udp/239.45.3.74:5140
东方购物-2,http://101.224.148.168:5022/udp/239.45.3.75:5140
金色学堂,http://101.224.148.168:5022/udp/239.45.0.9:5140
七彩戏剧,http://101.224.148.168:5022/udp/239.45.0.16:5140
金鹰卡通,http://101.224.148.168:5022/udp/239.45.0.38:5140
卡酷少儿,http://101.224.148.168:5022/udp/239.45.0.8:5140
全纪实,http://101.224.148.168:5022/udp/239.45.3.135:5140
CCTV1综合,http://101.224.148.168:5022/udp/239.45.3.145:5140
CCTV2财经,http://101.224.148.168:5022/udp/239.45.1.109:5140
CCTV3综艺,http://101.224.148.168:5022/udp/239.45.1.68:5140
CCTV4中文国际,http://101.224.148.168:5022/udp/239.45.0.2:5140
CCTV5体育,http://101.224.148.168:5022/udp/239.45.1.69:5140
CCTV6电影,http://101.224.148.168:5022/udp/239.45.1.70:5140
CCTV7国防军事,http://101.224.148.168:5022/udp/239.45.3.56:5140
CCTV8电视剧,http://101.224.148.168:5022/udp/239.45.1.71:5140
CCTV9记录,http://101.224.148.168:5022/udp/239.45.3.4:5140
CCTV10科教,http://101.224.148.168:5022/udp/239.45.3.8:5140
CCTV11戏曲,http://101.224.148.168:5022/udp/239.45.1.196:5140
CCTV12社会与法,http://101.224.148.168:5022/udp/239.45.3.10:5140
CCTV13新闻,http://101.224.148.168:5022/udp/239.45.1.198:5140
CCTV14少儿,http://101.224.148.168:5022/udp/239.45.3.23:5140
CCTV15音乐,http://101.224.148.168:5022/udp/239.45.1.200:5140
CCTV-17农村农业,http://101.224.148.168:5022/udp/239.45.3.52:5140
CGTN,http://101.224.148.168:5022/udp/239.45.1.194:5140
浙江卫视,http://101.224.148.168:5022/udp/239.45.3.178:5140
江苏卫视,http://101.224.148.168:5022/udp/239.45.3.177:5140
